"## Filename : qalingo-bo-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : bo",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Backoffice Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
"##",,,,,,,,,,,,,,,,,
"## -- Global --",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"## -- Common --",,,,,,,,,,,,,,,,,
"common","header.logo.title","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -","{Q}alingo -"
"common","header.env.name","<strong>Environment:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Environnement:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Umgebung:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Medio ambiente:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Ambiente:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Milieu:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Ambiente:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>環境:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>环境：</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>環境：</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>環境：</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>環境：</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Môi trường:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Environment:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Medi ambient:</strong> <span style=""color: #a1cd44;"">{0}</span>","<strong>Ingurumena:</strong> <span style=""color: #a1cd44;"">{0}</span>"
,,,,,,,,,,,,,,,,,
"common","header.link.login","Login","Se connecter","anmelden","registrarse","registrati","aanmelden","assinar em","ログイン","登录","登錄","登錄","登錄","Đăng nhập","Войти","Registrar","Hasi saioa"
"common","header.link.logout","Logout","Se déconnecter","austragen","desconectar","disconnessione","uitloggen","sair","サインアウト","退出","退出","退出","退出","Đăng xuất","Выход","Desconnectar","Saioa amaitu"
"common","header.link.my.account","Account","Mon compte","mein Konto","mi cuenta","il mio conto","mijn account","minha conta","マイアカウント","帐户","帳戶","帳戶","帳戶","Tài khoản","счет","El meu compte","Nire kontua"
,,,,,,,,,,,,,,,,,
"common","date.create.label","<strong>Created date</strong>","<strong>Date de création</strong>","<strong> Erstellungsdatum </strong>","<strong> Creación fecha </strong>","<strong> Data di creazione </strong>","<strong> Creation Date </strong>","<strong> Data de criação </strong>","<strong> 作成日</strong>の","<strong>创建日期</strong>","<strong>創建日期</strong>","<strong>創建日期</strong>","<strong>創建日期</strong>","<strong>Ngày tạo</strong>","<strong> Дата создания </strong>","<Strong> Creació data </ ​​strong>","<Strong> Sorrera data </ ​​strong>"
"common","date.update.label","<strong>Updated date</strong>","<strong>Date de mise à jour</strong>","<strong> Datum Update </strong>","<strong> Fecha de actualización </strong>","<strong> Data di aggiornamento </strong>","<strong> Datum bijwerken </strong>","<strong> Data de atualização </strong>","<strong> 日付の更新</strong>の","<strong>更新日期</strong>","<strong>更新日期</strong>","<strong>更新日期</strong>","<strong>更新日期</strong>","<strong>ngày cập nhật</strong>","<strong>Обновленная дата</strong>","<Strong> Data d'actualització </strong>","<Strong> Date Update </ strong>"
,,,,,,,,,,,,,,,,,
"common","details.label","Details","Détails","Einzelheiten","Detalles","Dettagli","Details","Detalhes","細部","详情","詳情","詳情","詳情","Chi tiết","подробности","Detalls","Xehetasunak"
"common","edit.label","Edit","Éditer","bearbeiten","editar","Modifica","uitgeven","editar","編集","编辑","編輯","編輯","編輯","Chỉnh sửa","редактировать","Edita","Edit"
"common","add.label","Add","Ajouter","hinzufügen Auf","Añadir","Aggiungi Su","Toevoeging","Adicionar","アドオン","Add","Add","Add","Add","Add","добавлять","Afegir","Gehitu On"
"common","submit.label","Submit","Soumettre","einreichen","presentar","presentare","voorleggen","submeter","提出する","提交","提交","提交","提交","Xác nhận","представлять","Presentar","Bidali"
"common","save.label","Save","Sauvegarder","Speichern","Guardar","Salva","Opslaan","Salvar","保存","保存","保存","保存","保存","Lưu","Сохранить","Guardar","Save"
"common","delete.label","Delete","Supprimer","entfernen","quitar","rimuovere","verwijderen","remover","削除する","删除","刪除","刪除","刪除","Xóa","удалять","Treure","Kendu"
"common","actions.label","Actions","Actions","Lager","valores","stock","voorraad","estoque","株式","激活","激活","激活","激活","Thực hiện","действия","Valors","Badago"
"common","cancel.label","Cancel","Annuler","stornieren","cancelar","cancellare","annuleren","cancelar","キャンセル","取消","取消","取消","取消","Hủy","отменить","Cancel·la","Utzi"
"common","back.label","Back","Retour","Rückkehr","retorno","ritorno","terugkeer","retorno","リターン","返回","返回","返回","返回","Trở lại","назад","Retorn","Return"
"common","sku_list.label","Skus","Skus","SKUs","SKUs","SKU","skus","Skus","のSKU","单品","單品","单品","單品","SKU","наименований","SKUs","SKUs"
,,,,,,,,,,,,,,,,,
"common","add.sku.label","Add a SKU","Ajouter un SKU","Fügen Sie eine Artikelnummer","Añadir un SKU","Aggiungi un SKU","Voeg een SKU","Adicionar um SKU","SKUを追加","添加SKU","添加SKU","添加SKU","添加SKU","Thêm một SKU","Добавить SKU","Afegir un SKU","Gehitu SKU bat"
,,,,,,,,,,,,,,,,,
"common","popin.continue.label","Continue","Continuer","weitermachen","Continua","proseguire","ga Door","continue","続ける","继续","繼續","继续","繼續","tiếp tục","продолжать","Continua","Carry On"
,,,,,,,,,,,,,,,,,
"common","address.label","Address","Adresse","Anschrift","dirección","indirizzo","adres","endereço","アドレス","地址","地址","地址","地址","địa chỉ","адрес","Direcció","Helbidea"
"common","address1.label","Address1","Adresse 1","Adresszeile 1","dirección Línea 1","Indirizzo Linea 1","adres Regel 1","endereço Linha 1","住所1","地址1","地址1","地址1","地址1","Address1","Address1","Direcció Línia 1","Helbidea Line 1"
"common","address2.label","Address2","Adresse 2","Adresse 2","dirección 2","Indirizzo 2","adres 2","endereço 2","アドレス2","地址2","地址2","地址2","地址2","Address2","Адрес2","Adreça 2","Helbidea 2"
"common","address.additional.information.label","Address Information","Adresse information","Adressinformationen","información de dirección","informazioni Indirizzo","adres gegevens","informações de endereço","アドレス情報","地址信息","地址信息","地址信息","地址信息","Thông tin địa chỉ","Адресная информация","Informació de direcció","Helbidea informazioa"
"common","postal.code.label","Postal code","Code postal","PLZ","código postal","Cap","postcode","cEP","郵便番号","拉链","拉鍊","拉链","拉鍊","Zip","Почтовый индекс","Codi postal","PK"
"common","city.label","City","Ville","City","ciudad","città","City","cidade","シティ","城市","城市","城市","城市","thành phố","город","Ciutat","Herriaren"
"common","country.label","Country","Pays","Land","país","paese","land","país","カントリー","国家","國家","国家","國家","nước","страна","País","Herriko"
,,,,,,,,,,,,,,,,,
"common","active.label","is active ?","est actif ? ","aktiv?","activo?","attiva?","actief?","ativo?","アクティブ？","有效？","有效？","有效？","有效？","đang hoạt động?","активен?","actiu?","aktiboa?"
,,,,,,,,,,,,,,,,,
"## -- Header --",,,,,,,,,,,,,,,,,
"header.menu","more.pages","More Pages","Plus...","Mehr ...","Más ...","Di Più ...","Meer ...","Mais ...","もっと...","更多网页","更多網頁","更多网页","更多網頁","nhiều trang","Подробнее Страницы","Més ...","Gehiago ..."
"header.menu","marketplaces","MarketPlaces","MarketPlaces","Marktplätze","marketplaces","Marketplaces","marktplaatsen","marketplaces","マーケットプレイス","交易市场","交易市場","交易市场","交易市場","chợ","МАГАЗИНЫ","Marketplaces","Marketplaces"
"header.menu","markets","Markets","Markets","Märkte","mercados","Mercati","markten","mercados","マーケット","市场","市場","市场","市場","thị trường","рынки","Mercats","Merkatuak"
"header.menu","market.areas","Market Area","Market Area","Marktbereich","Área de Mercado","Area mercato","Market Area","Área do Mercado","市場地域","市场区域","市場區域","市场区域","市場區域","Khu vực Thị trường","Рынок Площадь","Àrea de Mercat","Market Area"
"header.menu","market.area.languages","M. Area Languages","M. Area Langues","Mr. Bereich Sprachen","Sr. Area Idiomas","Mr. Area Lingue","De heer Area Talen","Mr. área Idiomas","氏エリア言語","区先生语言","區先生語言","区先生语言","區先生語言","Ông Area Ngôn ngữ","М. Площадь Языки","Sr. Àrea Idiomes","Mr. Hizkuntzak"
"header.menu","market.area.retailers","M. Area Retailers","M. Area Retailers","Mr. Händler Bereich","Sr. Espacio Detallista","Mr. Rivenditori Area","De heer Retailers Area","Mr. varejistas Area","氏小売エリア","零售商区先生","零售商區先生","零售商区先生","零售商區先生","Ông bán lẻ Area","М. Площадь Розничные","Sr. Espai Detallista","Merkatarien Area Mr."
"header.menu","market.area.currencies","M. Area Currencies","M. Area Devises","Mr. Währungsraum","Sr. curso Alrededores","Mr. valuta Dintorni","De heer Koers Area","Mr. moeda da área","氏通貨エリア","区先生货币","區先生貨幣","区先生货币","區先生貨幣","Đơn vị tiền tệ Ông Area","М. Площадь Валюты","Sr. curs Voltants","Moneta Area Mr."
"header.menu","settings","Settings","Paramètres","Einstellungen","Ajustes","Impostazioni","instellingen","Definições","[設定]","设置","設置","设置","設置","cài đặt","настройки","Ajustos","Ezarpenak"
"header.menu","account.settings","Account settings","Paramètres du compte","Kontoeinstellungen","Configuraciones de la cuenta","Impostazioni dell&#39;account","Account instellingen","Configurações de Conta","アカウント設定","账户设置","賬戶設置","账户设置","賬戶設置","Cài đặt tài khoản","параметры Compte","Configuracions del compte","Kontu ezarpenak"
"header.menu","privacy.settings","Privacy Settings","Paramètres de confidentialité","Datenschutzeinstellungen","Configuración de privacidad","Impostazioni sulla privacy","Privacyinstellingen","Configurações de privacidade","プライバシー設定","隐私设置","隱私設置","隐私设置","隱私設置","Cài đặt riêng tư","Настройки конфиденциальности","Configuració de privacitat","Pribatutasun-ezarpenak"
"header.menu","wiki","Wiki","Wiki","Wiki","wiki","Wiki","wiki","Wiki","ウィキ","维基","維基","维基","維基","wiki","Wiki","Wiki","Wiki"
"header.menu","my.profile","My Profile","Mon compte","mein Konto","mi cuenta","il mio conto","mijn account","minha conta","マイアカウント","我的个人资料","我的個人資料","我的个人资料","我的個人資料","Hồ sơ của tôi","Мой профиль","El meu compte","Nire kontua"
"header.menu","my.groups","My Groups","Mes groupes","Meine Gruppen","Mis grupos","I miei gruppi","mijn groepen","Meus grupos","私のグループ","我的群组","我的群組","我的群组","我的群組","Nhóm của tôi","Мои группы","Els meus grups","Nire talde"
"header.menu","backoffice.languages","Backoffice Languages","Backoffice Langues","Backoffice Sprachen","Backoffice Idiomas","Backoffice Lingue","backoffice Talen","Backoffice Idiomas","バックオフィス言語","后台语言","後台語言","后台语言","後台語言","backoffice Ngôn ngữ","BackOffice Языки","Backoffice Idiomes","Argitaratuko Hizkuntzak"
"header.menu","marketplace","Marketplace","Marketplace","Markt","mercado","mercato","markt","mercado","市場","市井","市井","市井","市井","Thị trường","базарная площадь","Mercat","Marketplace"
"header.menu","market","Market","Market","Markt","mercado","mercato","markt","mercado","市場","市场","市場","市场","市場","thị trường","рынок","Mercat","Market"
"header.menu","market.area","Market Area","Market Area","Marktbereich","Área de Mercado","Area mercato","Market Area","Área do Mercado","市場地域","市场区域","市場區域","市场区域","市場區域","Khu vực Thị trường","Рынок Площадь","Àrea de Mercat","Market Area"
"header.menu","market.area.language","M. Area Localization","M. Area Localization","M. Lokalisierung Umgebung","M. Localización Area","M. Localizzazione Area","M. Localization Area","M. Localização Área","M.ローカライズエリア","M.本地化区","M.本地化區","M.本地化区","M.本地化區","M. Localization Area","М. области локализации","M. Localització Àrea","M. Localization Area"
"header.menu","market.area.retailer","M. Area Retailer","M. Area Retailer","Mr. Händler Bereich","Sr. Detallista Espacio","Mr. Area commercianti","De heer Retailer Area","Mr. Área Retailer","氏の小売業者のエリア","先生零售商区","先生零售商區","先生零售商区","先生零售商區","Ông bán lẻ Area","М. Площадь Retailer","Sr. Detallista Espai","Mr. xehekariak Area"
"header.menu","market.area.currency","M. Area Currency","M. Area Devise","Mr. Währungsraum","Sr. curso Alrededores","Mr. valuta Dintorni","De heer Koers Area","Mr. moeda da área","氏通貨エリア","先生货币区","先生貨幣區","先生货币区","先生貨幣區","Ông ngoại tệ Area","М. валютной зоны","Sr. curs Voltants","Moneta Area Mr."
,,,,,,,,,,,,,,,,,
"## -- Home Page --",,,,,,,,,,,,,,,,,
"seo","page.title.home","Home","Accueil","willkommen","bienvenida","benvenuto","welkom","bem-vindo","歓迎","首页","首頁","首頁","首頁","Trang chủ","домой","Benvinguda","Ongi"
"header.menu","home","Home","Accueil","willkommen","bienvenida","benvenuto","welkom","bem-vindo","歓迎","首页","首頁","首頁","首頁","Trang chủ","домой","Benvinguda","Ongi"
"breadcrumb.and.header","home","Home","Accueil","willkommen","bienvenida","benvenuto","welkom","bem-vindo","歓迎","首页","首頁","首頁","首頁","Trang chủ","домой","Benvinguda","Ongi"
"home","main.content.title","Home","Accueil","willkommen","bienvenida","benvenuto","welkom","bem-vindo","歓迎","首页","首頁","首頁","首頁","Trang chủ","домой","Benvinguda","Ongi"
